.dockerignore	b5ae55f2cd3c6e6a318f34ed3273fdd5b6342d05740b4cc50d5edc0c7db8de8c	reviewed	已阅读全文并核对职责、测试/构建入口及现有审查基线；后续统一验证配置一致性。
.env.example	16c4aa2e92e76ca24763d3a2fc1d0ccfb6bda4f5d62f1c103e52f2944cdffa95	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.githooks/pre-commit	1e4e7d2293d45afba8c0c82cb0968edf30481bdd6d0a1f848176d66828a1bd41	reviewed	已阅读全文并核对职责、测试/构建入口及现有审查基线；后续统一验证配置一致性。
.github/release-notes/README.md	e2a255bab088999495e56f5d9d8593ace5a071685631bc52a3c4b80cf84bd814	reviewed	Release guards: main ancestry, complete notes, sequence, serialized publication, architecture label equality, immutable existing version reuse and digest latest promotion; 29 Node checks and affected ESLint passed. Docs aligned to existing single-image deployment.
.github/release-notes/TEMPLATE.md	f2b22e46cd3805740ccc8c9efa35b8480df7455aa13a8776ebdab9b4dca4a04f	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/release-notes/v2026.09.09.md	52fbd3ea384f05a98bec07f840b410f2376e240681c2f5a57d84c9db69f5e146	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/release-notes/v2026.09.11.md	c70c632730458a9a7d25b6731bee4a888fa78521d105ca9eb2cbbd3095c8b50f	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/release-notes/v2026.09.13.md	d9c533b3492d03e7cd6a147b6a58119e92f00ce6d7a7ae95924cfc42138b5a36	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/release-notes/v2026.09.14-2.md	47a6328907f48ed452afd4367eda55311f30dc8c8a578d6f397ecbc0d3a37123	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/release-notes/v2026.09.14-3.md	937b530a02ecfcc24564d1f48a088c18bda7740a13635ca6e4b00389153a19ea	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/release-notes/v2026.09.14-4.md	77e640d0a15fdd58f83d1b743dbd264fdb96f17ddec16e1c110face1c70acfbb	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/release-notes/v2026.09.14.md	e1d078137f66d11fa92b697707041b29133eedf382f3ec28ac03d00e288435d4	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/scripts/generate-release-notes.mjs	0bbae3fcea43451d82e0e544c97c6655a0184f71e5dfa966382c1ec772fc1a79	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/scripts/prepare-release-image.mjs	1b7f868952f18508735b07744b44078c69b1aead2f2ed5e491a5384ba04015b2	reviewed	Release guards: main ancestry, complete notes, sequence, serialized publication, architecture label equality, immutable existing version reuse and digest latest promotion; 29 Node checks and affected ESLint passed. Docs aligned to existing single-image deployment.
.github/scripts/promote-release-image.mjs	a7896898342acbbb598b8198c1a950713f5ea27d8d88c81b6b8c345c83300929	reviewed	Release guards: main ancestry, complete notes, sequence, serialized publication, architecture label equality, immutable existing version reuse and digest latest promotion; 29 Node checks and affected ESLint passed. Docs aligned to existing single-image deployment.
.github/scripts/release-image-commands.test.mjs	f38d92fd72b96b37f7bb2805cba765a9a0a504f56498adc29bc38fddafde8d66	reviewed	Release guards: main ancestry, complete notes, sequence, serialized publication, architecture label equality, immutable existing version reuse and digest latest promotion; 29 Node checks and affected ESLint passed. Docs aligned to existing single-image deployment.
.github/scripts/release-images.mjs	b1ae8df0adee7aa0e32dd15c34134c55fc98eff525ddbf7bff6149e450560338	reviewed	Release guards: main ancestry, complete notes, sequence, serialized publication, architecture label equality, immutable existing version reuse and digest latest promotion; 29 Node checks and affected ESLint passed. Docs aligned to existing single-image deployment.
.github/scripts/release-images.test.mjs	d48adc836ff6d872f26628e3b696e3c6193d4270a70bb5e90c5359ed0981bc2f	reviewed	Release guards: main ancestry, complete notes, sequence, serialized publication, architecture label equality, immutable existing version reuse and digest latest promotion; 29 Node checks and affected ESLint passed. Docs aligned to existing single-image deployment.
.github/scripts/validate-browser-gates.test.mjs	3b1058b37a8bf16251cff8c7b38e0d9c9255a4739d379afb7141bf7bf51e2919	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/scripts/validate-compose.test.mjs	d8a91a250fe2fcc1c66e8b814b53c7f8c7888fb3e4b306e2aa9a3a2070a438f3	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/scripts/validate-container-entrypoint.test.mjs	9cd657d7528da5db988eaecdfbe84bb12ec1263f4e28ece486adcc5b5090d009	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
